transaction_id,timestamp,customer_id,amount,payment_method,card_network,merchant_category,device_type,ip_country,is_3ds_authenticated,is_chargeback
TXN_000001,2026-01-01 00:00:13.574571275,CUST_01116,2073.7,card,mastercard,electronics,mobile_ios,IN,True,0
TXN_000002,2026-01-01 00:02:06.804404490,CUST_00063,2114.39,netbanking,mastercard,gaming,mobile_android,IN,True,0
TXN_000003,2026-01-01 00:02:18.418256700,CUST_00010,1039.49,card,mastercard,travel,mobile_android,IN,True,0
TXN_000004,2026-01-01 00:04:08.197030467,CUST_00006,455.72,upi,visa,electronics,desktop_windows,IN,True,0
TXN_000005,2026-01-01 00:04:49.302461039,CUST_00182,2361.69,upi,mastercard,electronics,mobile_android,GB,True,0
TXN_000006,2026-01-01 00:07:06.374776183,CUST_00074,3217.26,upi,mastercard,groceries,mobile_android,GB,True,0
TXN_000007,2026-01-01 00:07:51.571769373,CUST_00458,960.78,wallet,visa,fashion,desktop_mac,IN,True,0
TXN_000008,2026-01-01 00:08:53.882728348,CUST_02907,23237.52,netbanking,visa,electronics,desktop_windows,IN,False,1
TXN_000009,2026-01-01 00:10:00.853666655,CUST_00395,4506.65,card,visa,gaming,mobile_android,IN,True,0
TXN_000010,2026-01-01 00:22:07.026911181,CUST_00445,1534.46,upi,mastercard,digital_goods,mobile_android,US,True,0
TXN_000011,2026-01-01 00:26:23.685554507,CUST_00032,1000.37,upi,visa,digital_goods,mobile_android,IN,True,0
TXN_000012,2026-01-01 00:26:26.099162779,CUST_03892,559.59,wallet,mastercard,groceries,mobile_android,GB,True,0
TXN_000013,2026-01-01 00:27:19.228216077,CUST_00047,1985.29,card,visa,electronics,mobile_android,IN,True,0
TXN_000014,2026-01-01 00:32:01.449202981,CUST_00305,6009.74,upi,mastercard,fashion,mobile_ios,IN,False,1
TXN_000015,2026-01-01 00:33:53.222409839,CUST_03494,1251.86,upi,mastercard,fashion,mobile_android,IN,True,0
TXN_000016,2026-01-01 00:36:39.757847817,CUST_00607,4274.25,upi,visa,digital_goods,mobile_ios,IN,True,0
TXN_000017,2026-01-01 00:37:11.751986892,CUST_00304,1185.75,upi,rupay,travel,mobile_android,US,True,0
TXN_000018,2026-01-01 00:37:23.806318323,CUST_01779,858.88,card,visa,electronics,mobile_android,IN,False,0
TXN_000019,2026-01-01 00:38:01.846272674,CUST_00004,3279.29,upi,mastercard,electronics,mobile_ios,GB,False,0
TXN_000020,2026-01-01 00:44:54.610434970,CUST_00270,1770.31,upi,amex,groceries,mobile_ios,SG,True,0
TXN_000021,2026-01-01 00:46:41.209352053,CUST_01079,1218.6,upi,rupay,fashion,mobile_ios,IN,True,0
TXN_000022,2026-01-01 00:47:51.448684810,CUST_03914,217.55,netbanking,mastercard,fashion,mobile_android,US,True,0
TXN_000023,2026-01-01 00:50:00.826231671,CUST_03693,320.03,card,mastercard,groceries,desktop_mac,IN,False,0
TXN_000024,2026-01-01 00:52:27.945856175,CUST_01294,2671.72,netbanking,visa,gaming,mobile_android,IN,True,1
TXN_000025,2026-01-01 00:54:55.861147391,CUST_00308,6489.15,upi,visa,electronics,mobile_android,GB,True,0
TXN_000026,2026-01-01 00:55:49.325265879,CUST_00951,570.4,upi,mastercard,travel,mobile_android,IN,True,0
TXN_000027,2026-01-01 01:06:30.433382865,CUST_03388,1340.55,card,rupay,gaming,mobile_android,AE,True,0
TXN_000028,2026-01-01 01:07:03.057619366,CUST_01506,2737.2,upi,unknown,electronics,mobile_ios,IN,True,0
TXN_000029,2026-01-01 01:11:33.917039961,CUST_00050,14858.44,card,mastercard,fashion,mobile_ios,SG,False,1
TXN_000030,2026-01-01 01:12:45.598045591,CUST_03730,2766.23,card,mastercard,groceries,mobile_android,IN,False,0
TXN_000031,2026-01-01 01:14:38.243575894,CUST_03117,914.54,card,mastercard,digital_goods,mobile_android,IN,True,0
TXN_000032,2026-01-01 01:16:46.101906114,CUST_00112,1656.96,card,mastercard,digital_goods,mobile_android,US,True,0
TXN_000033,2026-01-01 01:17:09.094887470,CUST_01451,1762.31,upi,rupay,electronics,mobile_ios,IN,True,0
TXN_000034,2026-01-01 01:17:51.667381342,CUST_02920,3825.26,upi,visa,fashion,desktop_windows,IN,True,0
TXN_000035,2026-01-01 01:20:10.651665612,CUST_00116,1291.53,upi,visa,travel,mobile_android,IN,True,0
TXN_000036,2026-01-01 01:23:51.266730686,CUST_03299,1074.64,upi,visa,digital_goods,mobile_android,IN,True,0
TXN_000037,2026-01-01 01:25:45.667607011,CUST_00075,1777.61,card,visa,groceries,unknown,IN,True,0
TXN_000038,2026-01-01 01:31:01.311719008,CUST_00345,4579.75,card,mastercard,electronics,mobile_android,IN,False,0
TXN_000039,2026-01-01 01:32:18.793746804,CUST_03470,3136.87,card,mastercard,groceries,mobile_ios,GB,True,0
TXN_000040,2026-01-01 01:33:19.333175067,CUST_03502,6938.47,card,visa,digital_goods,mobile_ios,IN,True,0
TXN_000041,2026-01-01 01:37:07.133906003,CUST_00002,843.95,card,visa,fashion,mobile_android,GB,True,0
TXN_000042,2026-01-01 01:37:12.652382696,CUST_02826,1168.09,upi,mastercard,fashion,mobile_android,IN,True,0
TXN_000043,2026-01-01 01:40:51.856145159,CUST_01654,814.77,card,visa,travel,mobile_android,US,True,0
TXN_000044,2026-01-01 01:41:29.999841934,CUST_02868,4344.98,card,amex,electronics,mobile_android,US,True,0
TXN_000045,2026-01-01 01:43:35.669550998,CUST_00629,822.86,card,rupay,fashion,mobile_android,IN,True,0
TXN_000046,2026-01-01 01:43:37.821877260,CUST_03823,1702.32,card,visa,fashion,mobile_android,IN,True,0
TXN_000047,2026-01-01 01:44:28.981470275,CUST_01984,1717.82,upi,mastercard,groceries,mobile_android,IN,True,0
TXN_000048,2026-01-01 01:50:41.300333139,CUST_02056,2904.83,upi,visa,fashion,mobile_android,IN,True,0
TXN_000049,2026-01-01 01:53:16.911710406,CUST_00523,4351.02,card,visa,groceries,mobile_ios,SG,True,0
TXN_000050,2026-01-01 01:54:00.348412293,CUST_00429,711.7,upi,visa,digital_goods,mobile_ios,GB,True,0
TXN_000051,2026-01-01 01:54:26.126335871,CUST_00099,1427.13,upi,visa,electronics,mobile_ios,AE,True,0
TXN_000052,2026-01-01 01:55:32.616552618,CUST_00008,1331.4,wallet,amex,groceries,mobile_android,US,True,0
TXN_000053,2026-01-01 01:56:03.531583094,CUST_03111,1682.89,netbanking,rupay,digital_goods,mobile_android,IN,True,0
TXN_000054,2026-01-01 02:00:43.753769642,CUST_01126,1380.61,upi,mastercard,electronics,desktop_windows,IN,True,0
TXN_000055,2026-01-01 02:02:58.585619678,CUST_00984,3450.73,upi,mastercard,digital_goods,mobile_android,SG,True,0
TXN_000056,2026-01-01 02:05:10.890884315,CUST_00304,1094.82,card,mastercard,digital_goods,desktop_windows,IN,True,0
TXN_000057,2026-01-01 02:10:08.486413320,CUST_01930,4471.91,card,mastercard,groceries,mobile_ios,IN,True,0
TXN_000058,2026-01-01 02:12:17.962603541,CUST_00467,711.51,upi,visa,electronics,desktop_windows,IN,True,0
TXN_000059,2026-01-01 02:23:13.795830481,CUST_02397,1718.76,card,amex,fashion,desktop_windows,IN,True,0
TXN_000060,2026-01-01 02:24:11.477276509,CUST_00015,3978.65,upi,visa,travel,desktop_windows,IN,False,0
TXN_000061,2026-01-01 02:26:14.456317422,CUST_00150,2215.47,upi,visa,electronics,mobile_android,IN,True,0
TXN_000062,2026-01-01 02:26:49.607395961,CUST_00203,1960.59,upi,visa,gaming,mobile_android,GB,True,0
TXN_000063,2026-01-01 02:28:31.464931663,CUST_00002,755.45,netbanking,mastercard,electronics,mobile_ios,IN,True,0
TXN_000064,2026-01-01 02:29:44.881739897,CUST_01486,812.98,upi,mastercard,digital_goods,mobile_android,IN,True,0
TXN_000065,2026-01-01 02:30:10.503092576,CUST_01700,1800.02,upi,mastercard,digital_goods,mobile_ios,US,True,0
TXN_000066,2026-01-01 02:30:51.350679718,CUST_00485,2583.91,upi,visa,gaming,mobile_ios,IN,True,0
TXN_000067,2026-01-01 02:31:48.940893664,CUST_02299,830.03,upi,mastercard,groceries,mobile_ios,US,True,0
TXN_000068,2026-01-01 02:33:21.459437719,CUST_03566,35471.61,upi,visa,electronics,mobile_ios,IN,True,1
TXN_000069,2026-01-01 02:35:58.618212023,CUST_01911,856.83,upi,rupay,travel,mobile_android,GB,True,0
TXN_000070,2026-01-01 02:36:52.932179165,CUST_01540,6863.77,upi,amex,fashion,mobile_android,AE,True,0
TXN_000071,2026-01-01 02:37:26.323104247,CUST_00590,11736.99,card,visa,groceries,mobile_android,GB,True,0
TXN_000072,2026-01-01 02:41:43.560449305,CUST_00965,744.87,upi,mastercard,electronics,desktop_mac,US,True,0
TXN_000073,2026-01-01 02:47:44.895334006,CUST_00211,3113.23,netbanking,rupay,groceries,mobile_ios,IN,True,0
TXN_000074,2026-01-01 02:49:03.792414843,CUST_00145,1298.3,card,mastercard,electronics,mobile_ios,US,True,0
TXN_000075,2026-01-01 02:50:22.442719122,CUST_00003,3884.41,card,mastercard,fashion,desktop_windows,AE,True,0
TXN_000076,2026-01-01 02:50:30.500298801,CUST_00692,2345.09,upi,mastercard,electronics,mobile_android,SG,True,0
TXN_000077,2026-01-01 02:51:11.892066268,CUST_00121,5763.93,upi,rupay,gaming,mobile_android,AE,False,1
TXN_000078,2026-01-01 02:51:49.044129509,CUST_00647,3622.02,netbanking,visa,fashion,mobile_ios,GB,True,0
TXN_000079,2026-01-01 02:53:37.964537395,CUST_02419,2201.82,card,visa,electronics,desktop_mac,US,True,0
TXN_000080,2026-01-01 02:53:55.754878032,CUST_00368,600.85,upi,mastercard,travel,desktop_windows,AE,True,0
TXN_000081,2026-01-01 02:54:47.961543647,CUST_00272,1969.58,upi,visa,groceries,mobile_android,SG,True,0
TXN_000082,2026-01-01 02:57:35.290890033,CUST_00582,734.12,upi,unknown,fashion,mobile_android,SG,True,0
TXN_000083,2026-01-01 03:00:01.494423579,CUST_00742,4785.25,card,rupay,groceries,mobile_android,SG,True,0
TXN_000084,2026-01-01 03:00:47.822836036,CUST_00186,5725.67,netbanking,mastercard,electronics,mobile_android,US,True,0
TXN_000085,2026-01-01 03:01:06.368441232,CUST_01169,1238.93,card,visa,electronics,mobile_ios,SG,True,0
TXN_000086,2026-01-01 03:01:56.760990774,CUST_00003,3076.96,wallet,mastercard,fashion,desktop_mac,IN,True,0
TXN_000087,2026-01-01 03:03:29.251876818,CUST_00710,2981.68,card,visa,gaming,mobile_ios,GB,True,0
TXN_000088,2026-01-01 03:05:09.681267122,CUST_01410,3221.59,card,rupay,groceries,mobile_android,GB,True,0
TXN_000089,2026-01-01 03:05:22.240559912,CUST_00643,10919.39,upi,visa,groceries,mobile_android,US,True,0
TXN_000090,2026-01-01 03:06:22.595896933,CUST_03793,1287.87,upi,mastercard,fashion,mobile_android,SG,False,0
TXN_000091,2026-01-01 03:10:24.766401818,CUST_00054,2028.5,upi,visa,fashion,mobile_android,AE,True,0
TXN_000092,2026-01-01 03:16:41.429320551,CUST_00601,2599.24,upi,mastercard,fashion,mobile_android,IN,True,0
TXN_000093,2026-01-01 03:23:07.412733104,CUST_00217,2137.17,card,visa,fashion,desktop_windows,IN,True,0
TXN_000094,2026-01-01 03:23:18.601020252,CUST_03125,1781.36,upi,visa,fashion,mobile_android,GB,True,0
TXN_000095,2026-01-01 03:29:00.845357159,CUST_00074,1807.55,upi,mastercard,travel,mobile_android,IN,True,0
TXN_000096,2026-01-01 03:32:27.615800743,CUST_00837,1227.8,upi,visa,gaming,mobile_android,GB,True,0
TXN_000097,2026-01-01 03:34:43.062927749,CUST_00516,1946.71,upi,mastercard,fashion,mobile_android,IN,True,0
TXN_000098,2026-01-01 03:36:08.889185599,CUST_03244,1312.62,upi,mastercard,groceries,desktop_windows,GB,False,0
TXN_000099,2026-01-01 03:36:44.731676037,CUST_00982,538.25,upi,rupay,electronics,mobile_ios,IN,True,0
TXN_000100,2026-01-01 03:38:40.755727740,CUST_00641,521.26,card,visa,travel,mobile_ios,US,True,0
TXN_000101,2026-01-01 03:38:57.065592597,CUST_01108,1050.59,wallet,visa,fashion,mobile_android,IN,True,0
TXN_000102,2026-01-01 03:39:05.268988448,CUST_01757,3535.74,upi,mastercard,fashion,mobile_ios,IN,True,0
